,ID,Date,Origin,Doc_Name,Meta_Data_Extracted,PolicyNumber,Name_Insured,TypeOf_Doc,Success_Rate,Status,Date_Completed,Action
0,1,2020-08-17 14:58:40.953,,04BEACHREA2 APP.pdf,,,,,,,,
1,2,2020-08-17 14:58:46.123,,0697_001.pdf,,,,,,,,
2,3,2020-08-17 14:58:50.743,,1111safepointrmm.pdf,,,,,,,,
3,4,2020-08-17 14:58:56.260,,2019-2020 TOWER HILL LOSS RUNS.PDF,,,,,,,,
4,5,2020-08-17 14:58:58.817,,20200623141225719.pdf,,,,,,,,
5,6,2020-08-17 14:59:03.947,,202006231428.pdf,,,,,,,,
6,7,2020-08-17 14:59:08.670,,20200625090310.pdf,,,,,,,,
7,8,2020-08-17 14:59:14.920,,2020_06_22_12_08_19.pdf,,,,,,,,
8,9,2020-08-17 14:59:20.313,,26-6-2020_9_04_30 AM.pdf,,,,,,,,
9,10,2020-08-17 14:59:25.343,,40th REV Renewal Suppl App (4-2019) - Filable.pdf.PDF,,,,,,,,
10,11,2020-08-17 14:59:31.397,,4603_001.pdf,,,,,,,,
11,12,2020-08-17 14:59:36.703,,541c9bde-4405-447e-8e8a-906482d5a067.pdf,,,,,,,,
12,13,2020-08-17 14:59:45.813,,alport enterprises.pdf,,,,,,,,
13,14,2020-08-17 14:59:53.993,,Blue Island - Renewal Supp App.pdf,,,,,,,,
14,15,2020-08-17 15:00:00.410,,CIT Renewal Suppl App 2020 Loading Zone - Filable.PDF,,,,,,,,
15,16,2020-08-17 15:00:06.140,,CIT Renewal Suppl App.pdf,,,,,,,,
16,17,2020-08-17 15:00:11.770,,City Lights LLC.pdf,,,,,,,,
17,18,2020-08-17 15:00:17.500,,Completed Renewal Supp App_SPCW0005026-01.pdf,,,,,,,,
18,19,2020-08-17 15:00:22.463,,cortex_package_revised_renewal_application.pdf,,,,,,,,
19,20,2020-08-17 15:00:28.567,,Covenant Teaching - Signed SafePoint App.pdf,,,,,,,,
20,21,2020-08-17 15:00:33.377,,danajao safepoint ren_l app.pdf,,,,,,,,
